duration,temp_before,temp_after
1094,21.0,34.75
831,24.5,34.0
1372,20.0,33.0
834,24.5,34.5
6134,30.75,39.5
1072,23.25,33.5
1502,20.0,31.25
960,30.0,34.25
31,28.75,34.5
3987,28.75,42.0
1014,22.25,33.75
1254,19.75,34.0
1255,19.5,34.0
32,19.25,21.75
1015,20.75,35.0
1014,20.25,34.5
131,19.25,19.75
92,19.75,22.25
592,21.0,30.75
30,25.25,25.0
89,25.0,27.0
835,26.25,34.25
898,26.5,34.0
1260,22.0,36.0
714,27.75,33.5
946,22.75,34.75
774,27.0,34.5
903,18.75,31.0
655,26.5,32.75
623,30.25,35.0
1199,22.0,36.5
688,27.5,35.25
1014,24.25,36.0
940,21.5,35.0
1135,22.75,35.75
773,26.0,36.0
1024,33.5,36.5
941,23.75,35.0
1200,22.25,36.5
1433,22.25,34.5
1500,18.25,35.75
599,29.0,34.0
1613,18.25,33.75
239,18.0,19.75
606,19.75,29.75
1800,19.25,36.25
1554,19.75,34.75
713,28.75,33.0
1800,17.25,34.25
1611,19.5,34.75
1799,17.5,35.5
1254,22.25,36.0
955,29.25,37.5
956,25.25,35.5
954,25.25,35.0
30,26.0,26.5
715,26.0,34.5
900,32.25,36.25
473,29.75,33.5
180,26.75,27.0
533,20.75,28.0
1200,22.25,31.75
840,25.75,34.5
954,24.5,36.25
1075,23.75,36.0
437,24.75,30.5
1200,22.5,36.25
1134,23.5,36.5
834,25.75,35.75
1015,24.5,35.0
1201,22.0,36.25
964,24.0,31.5
420,31.5,35.5
1434,20.0,36.25
1254,21.5,36.0
1014,24.25,34.5
480,23.0,30.0
899,26.25,35.75
786,25.5,32.75
835,26.0,35.75
1074,23.75,36.25
660,32.75,35.0
300,30.0,32.75
234,29.75,31.5
600,30.75,33.75
660,28.0,34.75
356,30.0,30.5
301,30.0,32.5
240,30.0,31.75
240,30.0,31.5
354,30.0,32.5
960,31.25,34.75
301,30.0,32.75
60,30.0,29.75
175,29.75,31.25
300,30.0,32.25
360,29.75,33.0
354,29.75,32.0
302,30.0,32.5
415,29.75,33.0
480,29.25,33.75
654,28.0,34.5
1675,16.5,36.75
1554,17.75,36.75
1014,24.0,36.0
932,20.0,30.75
898,25.5,36.0
484,25.5,32.75
1014,23.75,35.0
903,22.75,35.0
415,29.25,34.25
1073,23.25,35.75
907,22.5,34.5
449,30.0,33.75
1434,19.75,36.5
864,20.5,32.25
715,25.75,35.5
64,21.75,22.25
37,22.25,23.0
30,22.75,23.25
30,23.25,24.0
1102,23.5,36.25
1375,19.75,34.5
1200,22.0,34.5
1194,22.25,36.25
1200,22.0,36.0
1255,21.5,36.75
1134,23.25,40.75
0,0.0,0.0
65,33.25,33.25
214,29.5,29.5
882,26.5,36.0
953,25.25,34.75
534,22.25,30.75
835,26.5,35.5
532,22.5,29.25
955,23.75,34.5
1075,23.5,36.5
535,21.25,29.5
836,23.75,35.75
1080,23.25,36.5
1200,22.5,36.25
1199,22.25,36.75
1014,24.25,36.0
1134,22.75,36.25
1074,23.75,35.0
1200,22.25,36.25
955,19.75,32.25
301,25.25,27.0
480,27.0,30.75
774,27.75,35.75
1074,24.0,36.0
655,27.75,34.0
1130,23.25,35.5
764,26.5,35.0
1080,31.5,34.75
184,30.25,26.5
546,24.25,31.5
1314,21.25,37.25
1375,19.75,36.75
1075,24.0,36.5
1314,20.5,36.5
1134,22.75,36.0
1200,22.25,36.25
240,30.0,32.5
899,25.25,35.75
1133,19.25,33.75
655,27.25,35.25
508,22.0,31.0
1074,23.75,36.5
240,31.5,29.5
661,28.0,33.0
775,27.0,35.75
658,28.0,32.75
475,29.0,34.25
953,25.25,36.25
774,26.75,34.75
365,22.25,27.5
1015,25.0,36.0
299,22.5,28.0
898,24.75,34.75
655,22.75,36.0
595,25.75,35.5
655,25.75,35.75
535,27.5,34.0
415,26.0,34.75
534,25.75,31.75
298,26.0,33.25
351,26.75,34.0
297,27.5,33.0
344,25.5,33.25
891,25.25,36.0
240,24.0,27.5
1014,24.5,36.5
1013,24.0,36.5
900,25.5,36.5
600,27.75,35.5
1073,24.5,36.5
120,23.75,25.25
1088,24.5,32.25
474,28.75,34.75
824,26.0,34.0
298,25.75,29.25
660,23.75,32.0
300,26.0,30.0
534,27.5,33.75
1069,24.5,36.75
420,27.0,32.25
530,25.0,32.75
360,27.5,31.75
301,27.0,31.25
833,26.5,36.25
360,27.25,32.0
600,27.5,34.75
653,26.75,32.75
653,27.75,34.75
480,29.5,32.75
831,26.0,35.75
654,27.5,35.5
300,27.25,29.75
712,27.0,35.25
660,32.0,32.25
833,26.75,35.75
300,27.0,31.25
240,27.0,29.25
186,27.0,28.75
414,27.0,30.75
646,28.25,35.25
660,29.75,33.25
353,26.75,31.25
652,28.0,34.75
540,30.75,33.5
298,26.75,31.0
660,30.5,32.75
300,27.0,31.0
600,27.25,34.5
1199,22.25,36.75
1011,24.5,35.5
180,27.0,28.5
1070,23.75,36.5
600,28.25,35.25
535,29.75,33.25
713,27.25,35.5
420,27.0,33.0
600,27.5,35.25
415,27.75,32.5
600,25.0,32.0
300,27.0,31.75
63,26.75,27.25
942,25.25,36.25
1067,23.5,36.0
1058,23.75,36.0
827,26.5,36.0
895,25.5,36.0
823,26.25,35.5
961,25.25,35.5
647,27.75,35.0
894,26.0,36.0
943,25.0,36.25
1148,24.0,36.5
1121,22.5,36.75
944,24.25,36.5
767,26.75,35.75
496,26.25,32.5
827,26.5,36.0
301,26.25,30.75
900,25.5,36.0
660,26.25,31.75
827,26.25,35.5
999,24.5,36.0
420,26.0,30.5
1197,22.75,36.75
1007,24.25,36.25
890,26.0,36.0
827,26.25,35.5
600,23.75,30.75
1247,22.5,36.5
540,26.5,32.0
397,29.0,33.0
1067,22.75,36.0
600,26.0,33.25
947,25.25,35.75
780,22.25,31.5
767,27.75,33.5
1233,23.75,33.75
1200,18.25,32.75
826,27.75,33.75
349,24.75,29.75
1127,25.75,34.5
1195,22.75,36.75
600,28.75,31.5
1007,24.5,35.75
842,26.75,30.5
1247,22.25,36.0
1205,23.25,33.0
528,22.25,33.25
1427,21.0,35.0
1367,21.5,35.5
472,26.75,30.75
1007,25.25,35.0
702,20.75,34.0
1247,22.75,33.25
668,27.75,32.0
1127,23.25,35.75
660,30.5,32.25
253,25.0,28.25
412,25.25,29.75
1007,25.0,35.75
623,27.25,35.75
52,33.5,35.5
1244,22.0,36.75
180,25.0,27.25
669,22.75,31.0
946,25.5,35.5
480,32.0,31.5
1007,24.75,37.25
181,26.0,28.25
947,25.5,37.0
367,26.75,31.75
832,26.5,35.5
306,26.75,30.5
951,25.75,35.75
1320,19.25,33.75
647,27.25,37.0
1007,24.75,36.75
1127,23.5,38.0
643,26.75,34.25
900,32.0,35.75
710,28.0,31.75
897,26.25,36.5
603,28.5,35.5
112,33.0,37.25
660,27.75,32.25
605,26.5,29.75
1499,25.0,41.5
300,28.0,30.0
1607,23.5,41.25
1494,25.0,42.0
600,32.25,32.75
240,26.0,29.0
1603,19.75,37.75
494,26.5,32.0
1252,24.25,37.0
642,21.5,34.5
1367,22.75,38.0
300,26.75,31.0
1494,23.0,39.0
516,24.5,32.75
1123,26.5,38.25
360,28.75,31.75
1127,27.0,39.25
1061,27.5,40.5
1306,24.5,38.75
1306,24.75,38.0
600,25.0,34.25
1302,24.25,36.75
540,30.5,33.25
1241,25.5,38.25
346,25.75,31.25
1127,27.0,37.75
1136,26.25,36.0
407,31.5,35.75
1154,21.25,35.25
1007,29.0,39.5
128,26.75,29.25
1252,26.0,37.5
300,31.25,30.25
1307,25.0,38.5
239,26.25,29.25
1495,26.0,38.75
60,26.0,29.5
1609,24.5,40.0
1549,25.0,41.75
300,26.75,30.75
600,28.25,33.25
1369,28.0,39.75
780,30.5,33.25
1488,26.0,39.75
600,26.25,32.0
1427,27.0,41.0
604,24.75,33.25
1248,28.75,39.25
181,31.0,28.75
1495,25.75,39.75
1429,26.25,39.5
1545,25.0,42.0
600,31.75,32.25
1549,25.0,42.5
300,26.75,27.5
1491,25.25,39.75
1306,28.0,40.25
1794,29.25,31.0
120,26.0,27.5
120,26.0,26.75
180,26.0,28.0
1608,24.5,41.25
180,26.0,29.25
1548,25.25,40.0
113,26.5,26.75
120,26.0,27.5
713,26.0,32.25
1309,28.0,42.25
360,26.0,31.25
1549,25.0,41.0
720,27.75,33.0
1500,17.0,34.25
1249,27.75,40.25
2399,29.25,29.0
60,26.75,27.0
240,26.0,32.5
1369,27.25,40.25
1248,27.75,40.75
113,27.0,27.5
1610,24.25,42.25
1850,28.0,39.75
2405,33.25,32.75
120,26.0,27.25
481,25.5,31.0
1609,23.5,39.75
355,27.0,29.25
426,25.75,30.0
1551,26.0,40.5
660,26.75,39.5
287,25.75,31.25
1425,26.25,38.5
547,31.75,32.75
1368,27.25,40.75
199,26.0,27.5
614,27.5,34.25
60,26.0,26.75
1548,24.5,39.75
353,26.0,30.0
1548,26.0,38.75
171,25.75,29.5
1613,24.0,38.25
480,29.5,32.75
2452,27.5,40.0
1248,28.5,39.25
67,26.0,27.5
1608,23.75,42.0
180,26.5,28.0
1548,24.5,41.5
246,26.0,30.0
1549,24.5,39.75
1800,29.75,30.25
187,26.25,29.5
1548,25.25,40.75
3316,31.5,39.25
1796,33.25,35.0
300,26.25,30.5
1609,24.5,40.25
414,26.25,31.0
426,27.5,30.5
1548,24.5,40.75
540,30.5,31.75
366,26.75,30.25
1489,25.75,41.75
727,27.75,33.5
1666,26.0,38.75
1307,27.5,39.0
